Product SKU	Product Name	Product Description	Model	Category	Type
2724231	Honeywell Fire & Waterproof Safe Chest with Carry Handle (1533)	Honeywell Fire & Waterproof Safe Chest with Carry Handle (1533)	1533	Office Supplies	Business
2724258	HP 64XL Black High Yield Ink Cartridge (N9J92AN#140), print up to 600 pages	HP 64XL Black High Yield Ink Cartridge, Prints Up to 600 Pages (N9J92AN#140)	N9J92AN#140	Office Supplies	Business
2724259	HP 64XL Tri-Color High Yield Ink Cartridge (N9J91AN#140), print up to 415 pages	HP 64XL Tri-Color High Yield Ink Cartridge, Prints Up to 415 Pages (N9J91AN#140)	N9J91AN#140	Office Supplies	Business
2759018	Hasbro Monopoly New Edition Classic Board Game	Hasbro Monopoly New Edition Classic Board Game (HG-C1009)	C1009	Inventory	Personal
2773034	Staples 12" Wooden Ruler	Staples 12" Wooden Standard Imperial Scale Ruler, Wooden (51881-CC)	ST51881-CC	Office Supplies	Business
2837194	Smead ETYJ Color Coding Labels, Light Blue	Smead ETYJ Color Coding Labels, 3/4" x 1 1/2", Light Blue with White Numerals, 500/Roll (68318)	68318	Office Supplies	Business
2841782	Kennedy International Simplify Open Lid Storage Bin, Chocolate	Kennedy International Simplify Open Lid Storage Bin, Chocolate (25091-CHOCO-ST)	25091-CHOCO-ST	Inventory	Business
2847075	Bounty Select-A-Size Double Roll Paper Towels, 12 Rolls/Pack	Bounty Select-A-Size Double Roll Paper Towels, 2-ply, 82 Sheets/Roll, 12 Rolls/Pack (66541/06130)	57053/61305	Inventory	Personal
2855093	Five Star Sports 4-Pocket Folder	Five Star Sports 3-Hole Punched 4-Pocket Folder, Assorted Colors (33176)	33176KBF	Office Supplies	Personal
24297267	Staples 3-Hole Punched 2-Pocket Plastic Portfolio Folder, Red (ST52803-CC)	Staples 3-Hole Punched 2-Pocket Plastic Portfolio Folder, Red (ST52803-CC)	52803	Office Supplies	Business
24297346	Hi-Chew Original Mix, 3.53 oz	Hi-Chew Original Mix, 3.53 oz		Inventory	Personal
24330742	Scotch-Brite Heavy Duty Dishwand, Green/Yellow (650-4)	Scotch-Brite Heavy Duty Dishwand, Green/Yellow (650-4)	650-4	Inventory	Personal
24337466	Royal Dansk Danish Butter Cookies, 12 oz	Royal Dansk Danish Butter Cookies, 12 oz		Inventory	Personal
