Product SKU	Product Name	Product Description	Model	Category	Type	Subcategory
481034	"Sharpie Permanent Marker, Ultra Fine Tip, Assorted, 12/Pack (37175PP)"	"Sharpie Permanent Marker, Ultra Fine Tip, Assorted, 12/Pack (37175PP)"	37175PP	Inventory	Business	Markers
2056103	"Prismacolor Manga Colored Pencils, 8/Pack"	"Prismacolor Manga Colored Pencils, 8/Pack"		Inventory	Business	Pencils
596837	"Prismacolor Premier Colored Pencils, 24/Pack"	"Prismacolor Premier Colored Pencils, 24/Pack"		Inventory	Business	Pencils
24394952	"Prismacolor Premier Watercolor Pencils, 12/Pack"	"Prismacolor Premier Watercolor Pencils, 12/Pack"		Inventory	Business	Pencils
2841782	"Kennedy International Simplify Open Lid Storage Bin, Chocolate"	"Kennedy International Simplify Open Lid Storage Bin, Chocolate (25091-CHOCO-ST)"	25091-CHOCO-ST	Office Supplies	Business	Storage
24646699	PNY Attaché 3 16GB USB 2.0 Flash Drive	"PNY Attaché 3 16GB USB 2.0 Type A Flash Drive, Black (P-FD16GATT3-BG)"	P-FD16GATT3-BG	Inventory	Business	Storage
24612526	"Samsonite Proxis 22"" Hardside Carry-On Suitcase, 8-Wheeled Spinner, Honey Gold (141845-6856)"	"Samsonite Proxis 22"" Hardside Carry-On Suitcase, 8-Wheeled Spinner, Honey Gold (141845-6856)"	141845-6856	Office Supplies	Business	Travel
24612534	"Samsonite Proxis 22"" Hardside Carry-On Suitcase, 8-Wheeled Spinner, Pretol Blue (141845-1686)"	"Samsonite Proxis 22"" Hardside Carry-On Suitcase, 8-Wheeled Spinner, Pretol Blue (141845-1686)"	141845-1686	Office Supplies	Business	Travel
24612530	"Samsonite Proxis 31"" Hardside Suitcase, 8-Wheeled Spinner, Silver (141847-1776)"	"Samsonite Proxis 31"" Hardside Suitcase, 8-Wheeled Spinner, Silver (141847-1776)"	141847-1776	Office Supplies	Business	Travel
24612532	"Samsonite Proxis 32"" Hardside Suitcase, 8-Wheeled Spinner, Black (141848-1041)"	"Samsonite Proxis 32"" Hardside Suitcase, 8-Wheeled Spinner, Black (141848-1041)"	141848-1041	Office Supplies	Business	Travel
901974	"Evian Natural Spring Water, 12 Bottles/Pack"	"Evian Natural Spring Water, 33.8 oz., 12 Bottles/Pack (EVI10000)"	EVI10000	Office Supplies	Personal	Beverages
1508051	Style Edge Instant Pockets	Style Edge Instant Pockets		School Supplies	Personal	Binders & Accessories
24592536	"360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Granite"	"360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Granite (3E0793-GRG8NA)"	3E0793-GRG8NA	Office Supplies	Business	Cables
24592535	"360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Powder"	"360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Powder (3E0793-PDW8NA)"	3E0793-PDW8NA	Office Supplies	Business	Cables
24572587	j5create 5.9' USB C to USB C Power Cable	"j5create 5.9' USB C to USB C Power Cable, Male to Male, Black (JUCX25L18)"	JUCX25L18	Office Supplies	Business	Cables
24584663	"Staples TECH USB-C to USB-C Charging Cable, 6.5 ft."	"Staples TECH USB-C to USB-C Charging Cable, 6.5 ft., White (ST62335)"	ST62335	Office Supplies	Business	Cables
24584664	"Staples TECH USB-C to USB-C Charging Cable, 9.8 ft."	"Staples TECH USB-C to USB-C Charging Cable, 9.8 ft., White (ST62336)"	ST62336	Office Supplies	Business	Cables
265574	"Airheads Xtremes Rainbow Berry Bites, 6 oz"	"Airheads Xtremes Rainbow Berry Bites, 6 oz (AHXBITES12)"	AHXBITES12	Office Supplies	Personal	Candy
